,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8116994,4.286179,4.329841,4.789193,4.771256,4.226998,4.713522,4.433259
7904967,6.645741,7.147996,7.357363,7.488068,6.899429,6.835665,6.651103
7908481,3.153418,3.552445,3.513157,3.225095,3.179131,3.404687,3.066498
8031157,5.596134,5.814272,6.183599,5.85677,6.071594,5.986665,6.177568
7915345,6.538325,6.667265,6.798212,6.705247,6.640363,6.722421,6.560475
7966570,7.790772,7.709615,7.945614,7.927613,8.058574,7.77,7.527548
8144457,3.16714,3.403171,3.448645,3.632987,3.44662,3.426228,3.595259
8112312,7.725678,7.815792,7.434608,7.81219,7.463265,7.729249,7.266691
8078360,10.50353,10.52155,10.39966,10.4661,10.19281,10.53842,10.33005
7982587,5.599035,5.673627,5.402836,5.870928,5.986608,5.659773,5.75329
7963386,4.108112,4.437602,4.503225,4.121206,4.352728,4.126114,4.633745
8092769,4.114039,4.280408,4.378315,4.068797,3.818677,4.093377,3.835327
7973797,5.625135,5.097908,5.328792,5.516092,5.441984,5.295207,5.717696
8147396,7.754751,7.486033,7.685194,7.774096,7.535841,7.678282,7.756478
7954481,6.082714,5.770873,6.183663,6.206723,5.690273,6.309593,6.388983
7972867,7.952376,7.951509,7.791987,8.084764,8.03772,8.093845,7.328605
8026875,9.298355,9.960518,9.824018,9.570397,9.545761,9.596039,9.685915
8179926,7.511134,7.349096,7.445533,7.616209,8.001499,7.51553,7.660204
8132458,6.227753,6.146277,6.20526,6.046889,6.319661,6.19407,6.045358
8079198,4.270713,4.19217,4.172102,4.665279,4.186442,4.175625,3.833614
8134655,3.428039,3.671526,3.76475,3.43295,3.445217,3.495924,3.627122
7905631,9.364593,9.204067,9.291368,9.505549,9.674258,9.345976,9.554898
7914791,9.969806,9.782337,9.800264,9.891568,9.843472,9.872887,9.814675
7946977,3.639504,3.475218,3.772144,3.604518,3.420494,3.690153,3.781391
7924731,2.84671,3.019578,2.954907,2.777412,2.863554,2.90536,3.284721
8094393,6.673875,6.791579,6.566413,6.794063,6.648712,6.84559,6.406432
7906469,7.646016,7.754702,7.79491,7.824087,7.633284,7.943072,8.136461
7980636,5.764233,5.425519,5.224373,5.655682,5.4441,5.293525,4.712443
7972444,9.781996,9.63715,9.630471,9.72206,9.759891,9.577421,9.681197
8131324,7.026231,6.931032,7.00015,7.203414,6.275341,7.087491,7.201134
8106006,8.918818,8.658119,8.666766,8.781662,8.709722,8.732179,8.311887
