"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"LINC00208",4.87601564285714,4.998246,4.76200014285714,3.38963745083333,3.38820018566667
"LINC00221",4.21262442857143,4.21779585714286,4.02926871428571,2.85121590833333,2.797180987
"LINC00242",3.86354821428571,3.99270842857143,3.81616742857143,3.67746605966667,3.63788267933333
"LINC00265",6.02900671428571,5.72256471428571,5.976694,8.4479606305,8.26280776666667
"LINC00266-4P",9.55174278571429,9.54221528571429,9.63467957142857,6.29775446716667,6.27453190116667
"LINC00272",5.12778007142857,5.17099957142857,5.03597171428571,3.64042903066667,3.5928061315
"LINC00293",1.93934864285714,2.085625,1.99515814285714,2.69125220183333,2.668296675
"LINC00299",7.35788335714286,7.175445,7.173213,5.06983495716667,5.344068429
"LINC00301",2.60442492857143,2.62616614285714,2.56081285714286,2.48617540666667,2.45978048033333
"LINC00303",4.504892,4.52752114285714,4.59534528571429,3.28409467683333,3.27468805066667
"LINC00304",5.33674835714286,5.33649257142857,5.38560214285714,5.64451654333333,5.55248672616667
"LINC00305",4.06390114285714,4.05814357142857,3.895994,2.98364386316667,2.99630626083333
"LINC00308",3.21833471428571,3.17283157142857,3.26163657142857,2.87220479233333,2.9167307315
"LINC00310",5.52811142857143,5.50825071428571,5.52933714285714,3.45716884783333,3.43810119783333
"LINC00311",5.28009521428571,5.34948271428571,5.256901,3.02502999566667,2.95915274433333
