,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
8050565,10.60192,10.4481,10.58174,10.50848,10.60166,10.39009,10.50856
8029507,6.930444,6.524474,6.389832,6.187631,8.849229,6.390792,6.250469
7950955,3.633875,3.773566,3.727806,3.566327,3.610057,3.744146,3.77035
8125204,8.56131,8.996777,8.552511,8.828884,8.679683,8.814177,8.866598
7973924,8.286657,8.584027,8.290873,8.87076,8.475031,8.685558,8.739803
7996117,5.920271,5.363177,5.42344,5.143379,5.552583,5.127775,5.504231
7901447,9.901793,9.994043,9.896031,9.987205,9.721869,9.955526,9.997864
8002283,5.507518,5.677623,5.40514,5.611329,5.494854,5.480849,5.470366
8159283,5.5502,5.261458,5.55159,5.306959,5.5678,5.3648,5.355202
7930915,5.719274,5.905299,5.721679,5.602952,4.914017,5.523806,5.461721
7922174,9.363758,8.167467,8.864368,8.47861,8.96549,8.963531,8.276036
